<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.16	19:15:00	87315.12	87315.12	87275.48	87309.06	78	0	1260
2025.12.16	19:16:00	87311.41	87361.69	87310.17	87342.12	83	0	1260
2025.12.16	19:17:00	87339.87	87349.93	87303.18	87349.87	58	0	1260
2025.12.16	19:18:00	87349.16	87390.1	87323.19	87326.95	72	0	1260
2025.12.16	19:19:00	87327.05	87347.76	87264.89	87277.75	70	0	1260
2025.12.16	19:20:00	87277.87	87313.04	87272.31	87312.22	55	0	1260
2025.12.16	19:21:00	87304.56	87365.42	87291.57	87365.42	56	0	1260
2025.12.16	19:22:00	87368.78	87428.5	87355.76	87375.75	85	0	1260
2025.12.16	19:23:00	87380.58	87437.37	87379.91	87383.3	84	0	1260
2025.12.16	19:24:00	87386.82	87428.67	87372.05	87372.05	59	0	1260
2025.12.16	19:25:00	87368.74	87428.94	87269.92	87356.71	120	0	1260
2025.12.16	19:26:00	87357.35	87419.01	87345.68	87391.89	83	0	1260
2025.12.16	19:27:00	87391.19	87391.19	87289.23	87311.27	81	0	1260
2025.12.16	19:28:00	87311.22	87343.71	87304.11	87329.84	52	0	1260
2025.12.16	19:29:00	87330.5	87418.61	87319.24	87418.61	86	0	1260
2025.12.16	19:30:00	87420.16	87472.79	87403.79	87468.77	92	0	1260
2025.12.16	19:31:00	87471.01	87491.7	87426.5	87443.67	83	0	1260
2025.12.16	19:32:00	87441.92	87451.68	87396.93	87449.11	102	0	1260
2025.12.16	19:33:00	87451.08	87475.54	87389.47	87423.64	62	0	1260
2025.12.16	19:34:00	87421.4	87496.01	87413.17	87494.7	48	0	1260
2025.12.16	19:35:00	87497.75	87591.09	87497.75	87566.01	55	0	1260
2025.12.16	19:36:00	87568.6	87604.28	87541.08	87578.66	77	0	1260
2025.12.16	19:37:00	87578.52	87606.08	87469.81	87500.37	79	0	1260
2025.12.16	19:38:00	87503.15	87506.89	87424.46	87428.14	71	0	1260
2025.12.16	19:39:00	87419.98	87436.21	87377.07	87405.86	49	0	1260
2025.12.16	19:40:00	87404.42	87445.82	87342.33	87437.25	101	0	1260
2025.12.16	19:41:00	87432.0	87523.19	87432.0	87523.19	53	0	1260
2025.12.16	19:42:00	87526.55	87547.3	87494.44	87516.75	51	0	1260
2025.12.16	19:43:00	87518.51	87542.26	87505.67	87523.46	58	0	1260
2025.12.16	19:44:00	87524.14	87550.33	87518.53	87550.33	46	0	1260
2025.12.16	19:45:00	87552.78	87612.42	87502.31	87608.74	72	0	1260
2025.12.16	19:46:00	87604.53	87636.56	87562.42	87562.42	77	0	1260
2025.12.16	19:47:00	87558.92	87612.17	87509.12	87593.25	73	0	1260
2025.12.16	19:48:00	87604.66	87670.49	87593.31	87639.29	75	0	1260
2025.12.16	19:49:00	87630.61	87645.71	87616.57	87618.49	41	0	1260
2025.12.16	19:50:00	87618.01	87665.22	87608.88	87657.22	55	0	1260
2025.12.16	19:51:00	87651.88	87778.61	87640.64	87759.15	88	0	1260
2025.12.16	19:52:00	87762.61	87768.26	87709.03	87718.46	56	0	1260
2025.12.16	19:53:00	87718.79	87753.03	87647.76	87647.76	75	0	1260
2025.12.16	19:54:00	87644.77	87687.39	87644.77	87666.05	45	0	1260
2025.12.16	19:55:00	87656.83	87656.83	87580.4	87611.03	48	0	1260
2025.12.16	19:56:00	87613.14	87675.54	87613.14	87617.1	44	0	1260
