<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.13	1.08723	1.08887	1.08272	1.08380	33743	0	1
2020.02.14	1.08380	1.08612	1.08291	1.08301	26699	0	1
2020.02.16	1.08396	1.08416	1.08351	1.08358	3231	0	2
2020.02.17	1.08358	1.08509	1.08249	1.08259	21121	0	1
2020.02.18	1.08259	1.08372	1.07852	1.07980	34124	0	1
2020.02.19	1.07980	1.08152	1.07821	1.08111	33854	0	1
2020.02.20	1.08111	1.08211	1.07775	1.07901	40618	0	1
2020.02.21	1.07901	1.08634	1.07875	1.08474	38086	0	1
2020.02.23	1.08229	1.08423	1.08106	1.08312	6741	0	1
2020.02.24	1.08312	1.08720	1.08049	1.08518	53436	0	1
2020.02.25	1.08518	1.08901	1.08300	1.08696	59616	0	1
2020.02.26	1.08696	1.09130	1.08549	1.08980	62174	0	1
2020.02.27	1.08980	1.10066	1.08953	1.09964	76224	0	1
2020.02.28	1.09964	1.10531	1.09508	1.10293	92978	0	1
2020.03.01	1.10426	1.10738	1.10362	1.10635	7685	0	1
2020.03.02	1.10634	1.11845	1.10382	1.11323	83828	0	1
2020.03.03	1.11323	1.12130	1.10951	1.11726	81251	0	1
2020.03.04	1.11726	1.11875	1.10953	1.11374	63044	0	1
2020.03.05	1.11374	1.12447	1.11195	1.12200	62006	0	1
2020.03.06	1.12201	1.13546	1.12184	1.12901	89395	0	1
2020.03.08	1.13438	1.13966	1.13348	1.13599	17253	0	1
2020.03.09	1.13600	1.14964	1.13558	1.13846	187471	0	1
2020.03.10	1.13845	1.14140	1.12743	1.13179	186877	0	8
2020.03.11	1.13180	1.13662	1.12500	1.12714	129234	0	1
2020.03.12	1.12714	1.13332	1.10554	1.11663	178540	0	1
2020.03.13	1.11663	1.12211	1.10549	1.11025	154056	0	1
2020.03.15	1.11236	1.11989	1.11161	1.11175	54536	0	1
2020.03.16	1.11177	1.12364	1.10846	1.11709	190643	0	1
2020.03.17	1.11708	1.11890	1.09550	1.09922	177888	0	1
2020.03.18	1.09923	1.10450	1.08016	1.09003	205901	0	1
2020.03.19	1.09003	1.09474	1.06527	1.06638	215672	0	1
2020.03.20	1.06638	1.08309	1.06375	1.06935	228230	0	1
2020.03.22	1.07030	1.07052	1.06346	1.06779	37227	0	1
2020.03.23	1.06780	1.08274	1.06661	1.07957	206472	0	1
2020.03.24	1.07957	1.08880	1.07458	1.07870	169225	0	1
2020.03.25	1.07868	1.09335	1.07839	1.09212	165084	0	1
2020.03.26	1.09212	1.10586	1.08918	1.10375	146602	0	1
2020.03.27	1.10375	1.11470	1.09533	1.11431	131335	0	1
2020.03.29	1.11179	1.11440	1.11050	1.11361	9157	0	1
2020.03.30	1.11361	1.11383	1.10099	1.10289	109478	0	1
2020.03.31	1.10290	1.10429	1.09266	1.10258	130727	0	1
2020.04.01	1.10258	1.10360	1.09027	1.09513	102834	0	1
2020.04.02	1.09512	1.09643	1.08205	1.08458	104215	0	1
2020.04.03	1.08458	1.08552	1.07727	1.08127	90139	0	1
2020.04.05	1.08121	1.08213	1.07979	1.08052	10555	0	2
2020.04.06	1.08051	1.08354	1.07682	1.07987	93163	0	1
2020.04.07	1.07987	1.09259	1.07902	1.08933	88307	0	1
2020.04.08	1.08933	1.08967	1.08298	1.08599	77234	0	1
2020.04.09	1.08599	1.09515	1.08409	1.09224	83705	0	1
